Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agrochemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manufacturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharmaceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale & Retail - vehicles,Wood and wood products
Accommodation,1005.142,1.878027,1.911583,1.042961,3.435315,1.069188,5.618567,3.793922,3.079742,0.280229,0.648706,2.470728,1.126926,1.074589,0.409342,0.340203,0.933966,1.075201,0.627204,0.94554,0.450664,0.697329,0.669226,0.809699,0.527062,0.82824,2.296547,0.378144,1.088481,3.890416,1.421611,0.967608,1.191359,0.986303,2.059407,0.880182,1.285099,0.911429,0.664331,0.42135,2.272942,0.782317,0,0.34309,1.038128,0.511752,14.71569,0.938564,0.254077,1.78396,0.788075,0.61097,1.384172,1.338718,0.501638,0.745566,0.301952,0.339984,1.668422,0.620499,0.942123,0.161897,1.3946,0.670963,0.621749,0.468709,0.151888,0.447335,0.551263,3.226679,0.542101,0.444925,0.658917,0.663632,0.365113,0.489569,1.28775,0.566557,13.01854,0.500777,0.498886,0.614613,0.59041,1.497961,0.998472,1.099276,0.291297,0,10.16005,1.404347,0.658253,0.290881,1.458234,0.718221,0.776636,1.11527
Accounting & tax services,3.573028,1006.681,4.521853,1.091569,3.218368,1.69362,2.262881,19.26437,2.146405,1.772591,2.26872,4.195364,6.999576,1.605434,2.742993,1.197667,1.327351,4.974125,0.850867,2.790427,2.771843,2.255699,1.179935,0.679451,1.223318,2.176285,7.46574,1.755385,2.507327,9.180174,1.834722,2.210953,2.819901,7.057596,0.853562,5.334925,2.085449,1.72963,1.478866,1.384355,7.41809,1.307275,0,0.739644,4.83315,1.29611,8.398801,0.736201,2.451033,10.07803,2.354354,1.19384,2.150292,4.380321,1.439037,1.21874,1.537987,1.264756,3.153192,3.031944,1.356815,2.866592,4.391257,3.642631,2.625811,1.230422,1.397985,2.128511,2.003036,2.562109,1.106336,2.617997,6.522719,2.009833,4.506731,1.888593,3.050046,1.916766,0.96751,1.272254,3.06839,2.347711,2.699428,2.633166,3.028506,1.966406,1.194011,0,4.934424,2.068056,2.517841,1.298947,2.96115,4.765249,2.844469,2.056792
Advertising & market research,1.315614,0.646092,1000.855,0.467695,1.758013,1.802897,0.521786,2.420968,0.932512,1.501164,2.050106,0.953248,1.439927,1.051047,2.604134,0.499396,0.475853,2.180351,1.031763,0.635276,1.022984,1.271724,0.749968,0.217886,0.963552,0.870113,1.127376,0.823072,2.056037,2.623573,2.126095,0.431026,1.158514,0.539192,0.75443,1.905242,1.286866,0.745311,0.71555,6.763977,2.740653,0.316314,0,0.398507,2.179756,0.287964,3.353984,0.415696,1.977696,0.940621,0.718545,1.056786,2.073939,0.611407,0.532421,0.488683,0.623238,3.001472,1.406646,1.766969,0.454648,0.523698,0.779108,0.78578,3.988752,0.989299,1.44317,2.143373,1.574863,1.340101,4.098627,1.81771,1.92155,0.579892,2.228877,0.617465,0.982695,0.37213,0.41665,0.812195,0.64675,3.65654,2.545372,1.117114,1.176689,1.954045,0.981885,0,0.752192,0.478988,1.160186,0.19292,1.614738,2.176745,1.23316,1.522097
Agriculture,10.13469,0.24387,0.262157,1100.353,0.72383,76.58292,3.95856,0.363439,0.358356,12.854,27.57708,0.657898,0.427423,0.733006,0.607741,0.883083,0.660922,0.213901,0.715691,1.134175,0.63189,0.731542,349.1376,0.596629,0.548794,0.401117,0.253829,0.567216,0.434253,0.45322,56.85459,1.219009,12.29745,9.221535,25.78879,0.632456,0.311334,0.348778,0.61324,244.1307,0.218474,0.768473,0,0.107538,0.236059,0.507668,0.956081,0.690436,23.13747,0.243073,0.672205,333.9231,0.486485,0.601792,0.895768,0.610818,0.559243,98.71579,0.546238,0.475373,0.591399,0.112304,0.17602,0.593852,0.654299,0.876696,0.494036,0.486431,0.616028,0.567347,0.327595,1.074556,0.197769,0.282174,0.399133,0.347037,0.290663,0.670117,1.42339,7.17517,0.221869,4.849009,10.04274,0.909359,0.338235,0.398524,0.967189,0,1.247699,0.618441,0.743987,0.159849,2.072668,0.548103,0.684853,1.191591
Air transport,1.127866,1.902971,1.485564,0.450259,1016.385,0.361449,0.595622,1.023129,1.617527,0.429774,1.117808,0.919564,1.728196,2.761933,0.413703,0.730804,0.932757,0.91055,0.816715,0.704824,1.650361,0.900535,0.544955,0.192475,1.514082,0.299842,2.580347,0.860429,1.763189,6.074365,0.489908,0.674637,1.17667,0.526481,0.386535,0.996906,1.214535,0.258595,1.176489,0.609625,1.795518,0.367841,0,0.400154,0.885795,0.903192,4.496707,1.716673,0.273009,1.275836,0.753083,0.410611,1.435456,1.929794,0.73203,2.316124,0.815705,1.004974,1.119211,1.259051,0.545786,0.355651,0.727802,1.721581,0.398654,0.534265,0.237498,13.4487,0.749162,1.037103,1.401258,1.987746,1.285621,0.636201,1.52399,0.781785,0.932859,0.65056,0.542362,0.47678,1.225216,0.517361,1.082096,1.007111,4.557634,1.01591,0.35643,0,6.951089,0.274428,2.693553,0.238815,2.412067,0.828739,1.618246,0.443063
Animal feeds,0.342188,0.009882,0.011318,28.41209,0.031306,1004.459,23.7454,0.015358,0.013493,0.510279,0.71761,0.194263,0.025893,0.023764,0.022182,0.025162,0.020723,0.010295,0.023627,0.033024,1.06191,0.315927,9.21156,0.027179,0.017336,0.012117,0.00989,0.017576,0.025687,0.018662,2.613905,0.072664,0.469577,0.247841,0.685932,0.020201,0.012949,0.011046,0.022359,6.322509,0.012452,0.034984,0,0.003509,0.010032,0.015888,0.033531,0.022072,1.779186,0.009957,0.021153,9.09379,0.020684,0.021541,0.027549,0.020728,0.018586,2.807126,0.019239,0.01598,0.018549,0.004596,0.0099,0.01851,0.02457,0.026093,0.0168,0.021268,0.02085,0.022853,0.014562,0.034853,0.009719,0.009718,0.013558,0.011337,0.01028,0.068087,0.143145,0.188613,0.010398,0.139442,0.264079,0.930412,0.013049,0.014498,0.028546,0,0.051035,0.026221,0.026468,0.005106,0.109421,0.019072,0.022102,0.035012
Aquaculture,0.829418,0.013852,0.019971,0.074639,0.051522,0.329255,0,0.027146,0.01606,0.327002,0.076195,0.053438,0.026217,0.047742,0.028371,0.044197,0.033041,0.01346,0.06243,0.043076,0.025808,0.043122,0.076306,0.030381,0.038185,0.015243,0.030371,0.035747,0.019373,0.032797,56.47654,0,1.535245,0.060935,0.038334,0.033563,0.020436,0.020545,0.0412,0.286216,0.015576,0.040632,0,0.005353,0.015207,0.036105,0.060513,0.050744,0.067033,0.017084,0.043049,0.105997,0.02897,0.038606,0.058756,0.042885,0.031667,0.296783,0.036702,0.030793,0.04169,0.008584,0.015149,0.03329,0.037109,0.036964,0.013339,0.049798,0.037417,0.034522,0.025821,0.062459,0.009509,0.013099,0.022247,0.02154,0.01918,0.020952,0.083132,0.033999,0.016727,0.42695,0.076993,0.038674,0.033877,0.024198,0.0326,0,0.073995,0.069675,0.039961,0.008454,2.620546,0.035929,0.030115,0.036772
Architectural services etc,6.242978,10.8848,13.22483,2.969454,6.149436,3.526489,4.645195,1061.454,4.432194,3.288051,6.153812,16.77127,21.28285,5.547085,2.227525,3.746567,4.541709,17.31541,13.12039,21.35286,7.279116,7.883369,2.995133,2.894335,3.757383,7.174908,17.71554,4.815635,6.951633,13.33665,13.24088,6.012927,4.927779,4.140278,4.206363,12.15716,7.481927,3.812853,3.98349,3.591602,12.25309,7.768857,0,5.556677,23.24897,2.542481,14.32223,3.808034,3.848737,7.813247,7.052363,2.766099,6.554904,8.111733,2.946821,3.83361,3.743628,3.557045,6.094144,6.806246,3.318914,2.352351,17.75487,14.57883,5.233389,3.565302,2.469063,7.716614,10.06407,8.363772,3.497598,5.939073,28.66982,10.08765,13.74547,8.171775,13.31628,17.27131,2.131007,3.812134,5.279263,5.631162,6.201414,7.457579,7.343328,6.4258,2.791615,0,11.36122,7.943128,9.365748,3.423139,6.905548,13.21945,8.992074,4.882204
Auxiliary financial services,0.260972,0.293701,0.259573,0.117126,0.58799,0.123374,0.18082,0.960457,1002.415,0.12079,0.2149,0.374905,1.684968,0.533576,0.170672,0.534573,0.178567,0.771867,0.233916,0.385864,0.438186,0.383594,0.136811,0.173386,0.18711,0.120924,0.267091,0.193034,0.28191,0.899188,0.189464,0.167536,0.209005,0.220483,0.168611,0.32028,0.292187,0.149309,0.202019,0.123472,0.810041,0.149501,0,0.07723,0.790182,0.11397,1.405516,0.185003,0.111911,0.419734,0.178312,0.130616,0.255107,0.263519,0.142292,0.263964,0.171467,0.136641,0.394481,0.219091,0.137707,0.131045,0.819193,0.273469,0.141708,0.133792,0.082761,0.317591,0.233589,0.280368,0.141234,0.650793,0.388739,0.170288,0.454147,0.200873,0.511055,0.599103,0.130663,0.131471,0.305807,0.170041,0.193375,0.342472,0.229862,0.331871,0.095282,0,0.426228,0.179378,0.61872,0.10468,0.543299,0.22684,0.310891,0.189648
Bakery & farinaceous,6.254469,0.294502,0.201032,0.235262,0.594355,1.842881,1.865306,0.174916,0.225558,1007.11,0.674543,1.085243,0.321332,0.221306,0.211236,0.119833,0.238993,0.108204,0.290278,0.151706,0.451366,0.473858,0.288367,0.425954,0.191901,0.072845,0.111984,0.201938,0.123844,0.318208,1.295692,2.231354,5.872824,0.235355,0.10422,0.157299,0.296528,0.095373,0.183555,0.872385,0.184948,0.531123,0,0.027941,0.189617,0.195738,0.398788,1.562803,0.791591,0.112048,0.251276,0.642045,0.203217,0.553567,0.32886,0.264272,0.19072,1.205155,0.200107,0.147943,0.221514,0.062761,0.161362,0.17404,0.412446,0.259397,0.231408,0.615546,0.186491,0.14836,0.172869,0.385514,0.072505,0.054408,0.113842,0.123075,0.098281,0.180652,1.813726,0.20392,0.200978,0.92029,0.400532,0.279539,0.155315,0.167448,0.195271,0,0.223355,0.831377,0.243137,0.062124,0.321558,0.175947,0.167727,0.184828
